crop_key,display_name,scientific_name,seasonal_water_need_mm_min,seasonal_water_need_mm_max,agrismart_water_need_category,fao_depletion_fraction_p,critical_growth_stages,growth_stage_information,source_reference
rice,Rice (Paddy),Oryza sativa,900,1500,Very_High,0.20,"Flowering,Panicle_Initiation,Reproductive","Panicle initiation and flowering are most sensitive to moisture stress. Requires saturated root zone.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
wheat,Wheat,Triticum aestivum,450,650,Medium,0.55,"Flowering,Grain_Filling,Crown_Root_Initiation","Crown root initiation and flowering/milking are critical stages. Sensitive to deficit during anthesis.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
maize,Maize (Corn),Zea mays,500,800,Medium,0.55,"Flowering,Tasseling,Silking","Silking and tasseling are acutely sensitive (Ky=1.25); moisture deficit causes severe yield loss.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
cotton,Cotton,Gossypium hirsutum,700,1300,High,0.65,"Flowering,Boll_Formation","Flowering and boll formation are sensitive; water stress induces boll shedding and fiber shortening.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
sugarcane,Sugarcane,Saccharum officinarum,1500,2500,Very_High,0.65,"Tillering,Grand_Growth","High water demand throughout vegetative elongation; drought during tillering causes significant loss.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
tomato,Tomato,Solanum lycopersicum,400,600,Medium,0.40,"Flowering,Fruit_Setting","Acutely sensitive to deficit at flowering and fruit setting (Ky=1.10); leads to flower drop and blossom end rot.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
potato,Potato,Solanum tuberosum,500,700,Medium,0.35,"Stolon_Initiation,Tuber_Initiation,Tuber_Bulking","Shallow root system with high sensitivity (p=0.35); tuber initiation and bulking require steady moisture.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
onion,Onion,Allium cepa,350,550,Low,0.30,"Bulb_Enlargement,Yield_Formation","Extremely shallow rooted with high depletion sensitivity (p=0.30); drying during bulb enlargement cracks bulbs.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
soybean,Soybean,Glycine max,450,700,Medium,0.50,"Flowering,Pod_Formation","Flowering and pod development are sensitive (Ky=1.00-1.10); moisture stress causes flower and pod abortion.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
groundnut,Groundnut,Arachis hypogaea,500,700,Medium,0.50,"Flowering,Pegging,Pod_Development","Pegging and pod development are critical stages; dry topsoil inhibits gynophore (peg) penetration.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
chickpea,Chickpea,Cicer arietinum,250,400,Low,0.65,"Flowering,Pod_Filling","Highly drought-tolerant deep-rooted pulse (p=0.65); sensitive to excess moisture/waterlogging; critical at flowering.","FAO Irrigation and Drainage Paper 56, Table 22; ICAR Pulses Water Guide"
pigeon_pea,Pigeon Pea,Cajanus cajan,350,550,Low,0.60,"Flowering,Pod_Setting","Deep taproot confers strong drought tolerance; moisture deficit during pod formation reduces seed set.","FAO Irrigation and Drainage Paper 56, Table 22; ICAR Pulses Water Guide"
mustard,Mustard,Brassica juncea,250,400,Low,0.60,"Flowering,Siliqua_Development","Low seasonal water requirement; flowering and siliqua formation are key moisture-sensitive windows.","FAO Irrigation and Drainage Paper 56, Table 22; ICAR Directorate of Rapeseed-Mustard"
sorghum,Sorghum,Sorghum bicolor,450,650,Medium,0.55,"Booting,Flowering,Grain_Filling","Drought tolerant with extensive root system; moisture stress at booting and flowering causes high yield loss.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
pearl_millet,Pearl Millet,Pennisetum glaucum,250,450,Low,0.60,"Flowering,Grain_Filling","Exceptional drought tolerance (p=0.60); adapted to arid environments; critical during heading/flowering.","FAO Irrigation and Drainage Paper 56, Table 22; ICAR Millet Directorate"
banana,Banana,Musa acuminata,1200,2200,Very_High,0.35,"Shooting,Flowering,Bunch_Development","Shallow root system with large leaf canopy; sensitive to deficit (p=0.35) during shooting and bunch development.","FAO Irrigation and Drainage Paper 56, Table 22; FAO Paper 33"
mango,Mango,Mangifera indica,800,1400,High,0.50,"Flowering,Fruit_Development","Deep rooted orchard tree; dry period beneficial for flowering induction, fruit set and expansion require steady moisture.","FAO Irrigation and Drainage Paper 56, Table 22; ICAR Orchard Water Guidelines"
